timestamp,log_source,user,department,device,src_ip,location,client,app,app_sanctioned,event_type,details,file_name,bytes,file_hash_sha256
2025-10-29 06:20:00+0000,Exchange,lars.haugen@datahaven.no,Finance,WIN10-DH-113,84.213.57.42,"NO, Oslo",Outlook/16.0 (Windows NT 10.0),Outlook,Yes,Mail.Compose,User composing outbound email to lars.personal@gmail.com; Subject='Q3 docs',,,
2025-10-29 06:22:15+0000,Exchange,lars.haugen@datahaven.no,Finance,WIN10-DH-113,84.213.57.42,"NO, Oslo",Outlook/16.0 (Windows NT 10.0),Outlook,Yes,Mail.AttachmentUpload,Attachment staged for send: Client_Contracts_Archive.zip,Client_Contracts_Archive.zip,623902720.0,83ea2aba1fa09cfe555433ce394f960e65b62de5dac94b7ab2ec9ac141ff77a2
2025-10-29 06:22:45+0000,Exchange,lars.haugen@datahaven.no,Finance,WIN10-DH-113,84.213.57.42,"NO, Oslo",Outlook/16.0 (Windows NT 10.0),Outlook,Yes,Mail.AttachmentUpload,Attachment staged for send: Q3_Financials.xlsx,Q3_Financials.xlsx,146800640.0,43881fcf50a146c8dd79285cd7c3fb995c25382f7d0ba0f1d05c2eb802d36f19
2025-10-29 06:23:15+0000,ExchangeDLP,lars.haugen@datahaven.no,Finance,WIN10-DH-113,84.213.57.42,"NO, Oslo",Outlook/16.0 (Windows NT 10.0),Outlook,Yes,DLP.Inspect,"DLP policy 'Confidential-Finance' evaluated: Sensitive PII and large files detected (contracts, financials).",,,
2025-10-29 06:23:35+0000,Exchange,lars.haugen@datahaven.no,Finance,WIN10-DH-113,84.213.57.42,"NO, Oslo",Outlook/16.0 (Windows NT 10.0),Outlook,Yes,Mail.BlockedOutbound,Outbound message blocked by Exchange Online DLP. Recipient: lars.personal@gmail.com; Reason: DLP policy match - Confidential data.,,770703360.0,
2025-10-29 06:24:35+0000,Exchange,lars.haugen@datahaven.no,Finance,WIN10-DH-113,84.213.57.42,"NO, Oslo",Outlook/16.0 (Windows NT 10.0),Outlook,Yes,Mail.SendAttempt,User attempted resend via OWA (web).,,,
2025-10-29 06:25:00+0000,ExchangeDLP,lars.haugen@datahaven.no,Finance,WIN10-DH-113,84.213.57.42,"NO, Oslo",Outlook/16.0 (Windows NT 10.0),Outlook,Yes,DLP.Alert,Repeated outbound delivery attempts blocked. Policy threshold exceeded (sensitivity + volume).,,,
2025-10-29 06:28:00+0000,Exchange,lars.haugen@datahaven.no,Finance,WIN10-DH-113,84.213.57.42,"NO, Oslo",Outlook/16.0 (Windows NT 10.0),Outlook,Yes,Mail.AttachmentUpload,User attached password-protected zip and attempted send to external address.,Client_Contracts_Archive_pwd.zip,623902720.0,603fe8f0eb06970f7fb736e1da00341737478c4a46bc8eb215222d575ad41aa2
2025-10-29 06:28:15+0000,ExchangeTransport,lars.haugen@datahaven.no,Finance,WIN10-DH-113,84.213.57.42,"NO, Oslo",Outlook/16.0 (Windows NT 10.0),Outlook,Yes,TransportRule.Flag,Transport rule 'BlockEncryptedAttachments' flagged outbound message: possible exfiltration attempt using passworded archive.,,,
2025-10-29 06:30:15+0000,Exchange,lars.haugen@datahaven.no,Finance,WIN10-DH-113,84.213.57.42,"NO, Oslo",Outlook/16.0 (Windows NT 10.0),Outlook,Yes,Mail.BlockedOutbound,Outbound message blocked by transport rules and DLP. Delivery prevented.,,0.0,
